slug,category,title,path,summary_hint
indie-folk,country-folk,§indie-folk,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/country-folk/indie-folk.md,"Indie folk emerged in the late 1990s and early 2000s as a quiet rebellion against both the polished production of mainstream folk and the loud distortion of alternative rock. Drawing from traditional folk's acoustic intimacy and indie rock's DIY ethos, the genre carved out space for introspective st"
neotraditional-country,country-folk,§neotraditional-country,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/country-folk/neotraditional-country.md,"Neotraditional country is the 1980s and 1990s movement that pulled country music back from the pop-crossover cliff of the Urban Cowboy era. By the early 1980s, country radio was dominated by string-laden, pop-produced tracks that bore little resemblance to the fiddle-and-steel tradition — and record"
outlaw-country,country-folk,§outlaw-country,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/country-folk/outlaw-country.md,"Outlaw country emerged in the early 1970s as a direct rebellion against the tightly controlled Nashville Sound, where producers like Chet Atkins and Owen Bradley dictated arrangements, session musicians, and even song selection for artists. Rooted in honky-tonk, Western swing, rockabilly, and the Ba"
singer-songwriter,country-folk,§singer-songwriter,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/country-folk/singer-songwriter.md,"Singer-songwriter is both a genre and a practice — artists who write and perform their own material, with the emphasis on the song itself rather than production, arrangement, or performance spectacle. While virtually all modern artists write their own songs, the singer-songwriter genre specifically "
western-swing,country-folk,§western-swing,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/country-folk/western-swing.md,"Western swing is a uniquely American genre that fused country, jazz, blues, and big band music in the dance halls of 1930s and 1940s Texas and Oklahoma. Born from the innovation of bandleaders who wanted to make rural audiences dance to the same sophisticated rhythms they heard on jazz radio broadca"
2-step-garage,electronic-dance,§2-step-garage,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/2-step-garage.md,"2-step garage emerged in the late 1990s as a rhythmic evolution within the UK garage scene, breaking away from the steady four-on-the-floor kick patterns of speed garage toward a syncopated, skippy groove that shuffled and swung in unpredictable ways. The name ""2-step"" refers to the drum pattern's c"
acid-jazz,electronic-dance,§acid-jazz,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/acid-jazz.md,"Acid jazz emerged in London in the mid-to-late 1980s as a fusion of jazz improvisation, funk grooves, soul vocals, and electronic production. The term was coined by DJ Gilles Peterson and journalist Chris Bangs, initially as a tongue-in-cheek response to the acid house movement — while acid house wa"
ambient,electronic-dance,§ambient,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/ambient.md,"Ambient music is a genre of electronic and instrumental music characterized by atmospheric, textural soundscapes that prioritize tone, atmosphere, and timbre over traditional song structure, melody, or rhythm. The genre serves as a canvas for abstract emotion, environmental narrative, and sonic expe"
balearic,electronic-dance,§balearic,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/balearic.md,"Balearic beat (often shortened to Balearic) originated in the clubs of Ibiza, Spain, during the mid-1980s, defined not by a single sound but by an eclectic DJing philosophy that prioritized mood and atmosphere over genre boundaries. The term was coined to describe the anything-goes approach of DJs l"
bass-house,electronic-dance,§bass-house,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/bass-house.md,"Bass house emerged from the UK and US electronic underground in the early-to-mid 2010s, fusing the four-on-the-floor rhythmic framework of house music with the aggressive, distorted bass design of dubstep and UK bass. The genre's roots trace back to the cross-pollination of UK garage, speed garage, "
bassline,electronic-dance,§bassline,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/bassline.md,Bassline (also known as bassline house or niche) emerged from Sheffield's club scene around 2002-2003 as a regional mutation of UK garage and speed garage. DJs and producers in Sheffield's Niche nightclub — the genre's spiritual home — began stripping speed garage of its polished R&B vocals and repl
breakbeat,electronic-dance,§breakbeat,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/breakbeat.md,"Breakbeat is a broad family of electronic music built on syncopated, sampled drum patterns -- ""breaks"" -- lifted from funk, soul, and jazz recordings. The term traces back to the early 1970s, when hip-hop DJs like DJ Kool Herc isolated and looped the percussion-only sections of tracks like James Bro"
breakcore,electronic-dance,§breakcore,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/breakcore.md,"Breakcore emerged in the mid-1990s from the collision of jungle, hardcore techno, noise, and digital audio workstation experimentation. Rooted in the breakbeat-chopping traditions of drum and bass and jungle, breakcore pushed the concept to its logical extreme — mangling, splicing, and reassembling "
chillwave,electronic-dance,§chillwave,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/chillwave.md,"Chillwave emerged in 2009 as a distinctly internet-native genre, crystallizing on music blogs like Gorilla vs. Bear, Pitchfork, and Altered Zones. The term itself was initially satirical - coined by Carles of the blog Hipster Runoff to mock the proliferation of micro-genres - but quickly became the "
chiptune,electronic-dance,§chiptune,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/chiptune.md,"Chiptune (also called chip music or 8-bit music) originated in the early 1980s when musicians began using the sound chips of home computers and game consoles — the SID chip of the Commodore 64, the Ricoh 2A03 of the NES, and the Game Boy's custom audio processor — as intentional creative instruments"
deep-house,electronic-dance,§deep-house,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/deep-house.md,"Deep house emerged from the Chicago house scene in the mid-1980s as a more introspective, soulful counterpart to the raw energy of early house music. The subgenre's origins are attributed primarily to Larry Heard, who in 1984 recorded ""Can You Feel It,"" ""Mystery of Love,"" and ""Washing Machine"" withi"
drum-and-bass,electronic-dance,§drum-and-bass,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/drum-and-bass.md,"Drum and Bass (DnB) is a fast-tempo electronic music genre characterized by rapid breakbeats, heavy sub-bass lines, and syncopated rhythms typically ranging from 160-180 BPM. The genre emerged from the UK rave scene in the early 1990s, growing directly out of the hardcore and jungle movements that d"
dubstep,electronic-dance,§dubstep,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/dubstep.md,"Dubstep is a bass-heavy electronic music genre that emerged from the UK underground scene in the late 1990s and early 2000s, evolving from the sonic foundations of UK garage, 2-step, dub reggae, jungle, and grime. Characterized by syncopated rhythms, sub-bass frequencies that push the limits of huma"
edm,electronic-dance,§edm,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/edm.md,"Electronic Dance Music (EDM) is an umbrella term encompassing a vast array of electronically produced music genres designed primarily for dance-based entertainment. Rooted in the discotheques of the 1970s and the underground club scenes of Chicago, Detroit, and Europe in the 1980s, EDM evolved from "
electro,electronic-dance,§electro,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/electro.md,"Electro is an electronic music genre rooted in the fusion of synthesizers, drum machines, and funk rhythms that emerged in the early 1980s. The genre's lineage traces directly to Kraftwerk, whose albums *Trans-Europe Express* (1977) and *Computer World* (1981) provided the sonic blueprint — robotic "
electronic,electronic-dance,§electronic,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/electronic.md,"Electronic music encompasses a vast range of styles united by the use of electronic instruments, synthesizers, drum machines, and digital production techniques. The genre's roots trace back to the early 20th century with experimental composers like Karlheinz Stockhausen and Pierre Schaeffer's musiqu"
eurodance,electronic-dance,§eurodance,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/eurodance.md,"Eurodance is a form of electronic dance music that emerged from central Europe in the late 1980s and peaked commercially during the mid-1990s, when it dominated charts across Europe and achieved significant crossover success worldwide. The genre traces its roots to Germany, Belgium, Italy, and the N"
folktronica,electronic-dance,§folktronica,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/folktronica.md,"Folktronica emerged in the late 1990s and early 2000s as artists began merging acoustic folk instrumentation and songwriting traditions with electronic production techniques. The term describes a broad approach rather than a rigid template — the common thread is the juxtaposition of organic, hand-pl"
footwork,electronic-dance,§footwork,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/footwork.md,"Footwork originated in the mid-1990s on Chicago's South and West sides, evolving directly from ghetto house and juke music. The genre was inseparable from the dance form it accompanied — fast, intricate footwork dancing performed in competitive battle circles at events organized by crews and DJs. Pr"
future-bass,electronic-dance,§future-bass,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/future-bass.md,"Future bass is a style of electronic dance music that emerged in the early 2010s, blending elements of dubstep, EDM trap, synth-pop, and R&B into a warmer, more melodic alternative to the aggressive bass music dominating the scene at the time. The genre's roots trace back to the ""wonky"" electronic e"
future-funk,electronic-dance,§future-funk,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/future-funk.md,"Future funk emerged around 2012-2013 as a high-energy, dance-oriented evolution of vaporwave. Where vaporwave slowed and pitched down samples from 1980s and 1990s pop, smooth jazz, and elevator music to create an ironic commentary on consumer culture, future funk took a fundamentally different appro"
glitch-hop,electronic-dance,§glitch-hop,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/glitch-hop.md,"Glitch hop emerged in the late 2000s as producers began fusing glitch music's stuttering digital textures and broken-beat aesthetics with hip-hop's rhythmic backbone and bass music's low-end weight. The genre took glitch's experimental sound palette — bit-crushing, granular processing, buffer effect"
glitch,electronic-dance,§glitch,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/glitch.md,"Glitch is an electronic music genre that emerged in the mid-1990s, built on the deliberate use of digital errors, malfunctions, and artifacts as primary compositional material. Pioneered by artists like Oval (Markus Popp), who famously scratched CDs to create skipping, stuttering textures, and Alva "
grime,electronic-dance,§grime,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/grime.md,"Grime is a British electronic music genre that emerged from the council estates and tower blocks of East London in the early 2000s. Born from the collision of UK garage's rhythmic sophistication, jungle's breakneck energy, dancehall's vocal swagger, and hip-hop's lyrical ambition, grime forged a sou"
hardstyle,electronic-dance,§hardstyle,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/hardstyle.md,"Hardstyle is a form of hard dance music that emerged from the Dutch underground rave scene in the late 1990s, drawing on elements of hard trance, hardcore techno, and gabber. The genre coalesced around Rotterdam and the broader Netherlands club circuit, where producers began combining the melodic se"
house,electronic-dance,§house,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/house.md,"House music emerged from the underground clubs of Chicago in the early 1980s, born from the creative collision of disco, electronic experimentation, and Black and queer nightlife culture. The Warehouse nightclub, where DJ Frankie Knuckles held residency from 1977-1982, gave the genre its name and sp"
hyperpop,electronic-dance,§hyperpop,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/hyperpop.md,"Hyperpop is a maximalist experimental pop genre that emerged from online communities and the UK-based PC Music collective in the early-to-mid 2010s. Founded by A.G. Cook in 2013, PC Music became the aesthetic and philosophical nucleus of what would eventually be labeled ""hyperpop""—a term popularized"
idm,electronic-dance,§idm,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/idm.md,"IDM (Intelligent Dance Music) is an experimental electronic music style that emerged in the early 1990s from the UK rave and techno scenes. The genre coalesced around Warp Records, whose 1992 compilation Artificial Intelligence gathered tracks from Autechre, Aphex Twin (as Diceman and Polygon Window"
italo-disco,electronic-dance,§italo-disco,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/italo-disco.md,"Italo disco emerged in Italy in the late 1970s and reached its peak during the early-to-mid 1980s, representing one of the first distinctly European mutations of American disco. While American disco was dying under the weight of the ""Disco Sucks"" backlash, Italian producers embraced synthesizers and"
jersey-club,electronic-dance,§jersey-club,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/jersey-club.md,"Jersey club emerged in the early 2000s from Newark, New Jersey's underground dance scene, building on the rhythmic foundations of Baltimore club and incorporating elements of house, hip-hop, and R&B. Pioneered by DJs and producers like DJ Tameil, DJ Tim Dolla, and Brick Bandits, the genre developed "
jungle,electronic-dance,§jungle,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/jungle.md,"Jungle is a genre of electronic music that emerged from the UK rave scene in the early 1990s, born out of the breakbeat hardcore movement that dominated illegal warehouse parties, pirate radio stations, and sound system dances across London, Bristol, and the Midlands. The genre fused accelerated bre"
minimal-techno,electronic-dance,§minimal-techno,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/minimal-techno.md,"Minimal techno is a stripped-down branch of techno that emerged in the early 1990s from Detroit, pioneered primarily by Robert Hood and Daniel Bell. Hood, a founding member of the Underground Resistance collective alongside Jeff Mills and Mike Banks, felt that techno had drifted too far into rave ex"
moombahton,electronic-dance,§moombahton,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/moombahton.md,"Moombahton was created in 2009 by Washington D.C. DJ and producer Dave Nada, who pitched down a Afrojack electro house track to 108 BPM to match the tempo of reggaeton at a party — and discovered that the slowed-down Dutch house rhythms meshed perfectly with the dembow riddim patterns his audience a"
neurofunk,electronic-dance,§neurofunk,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/neurofunk.md,"Neurofunk emerged in the late 1990s as a dark, technically demanding subgenre of drum and bass that prioritized intricate sound design, aggressive basslines, and futuristic atmospheres over the genre's jazz-funk and rave-influenced roots. Producers like Ed Rush & Optical, Kemal & Rob Data, and the V"
nightcore,electronic-dance,§nightcore,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/nightcore.md,"Nightcore originated in 2001 as a school project by Norwegian duo Thomas S. Nilsen and Steffen Ojala Soderholm, who sped up and pitch-shifted trance and eurodance tracks as a deliberate artistic choice. Their project name became the genre itself, as YouTube remixers in the late 2000s adopted the tec"
phonk,electronic-dance,§phonk,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/phonk.md,"Phonk is a contemporary hip-hop subgenre rooted in the dark, lo-fi aesthetic of 1990s Memphis rap, synthesizing chopped vocal samples, hypnotic beat structures, and heavy bass with visual culture inspired by Japanese street racing and drift videos. The genre traces its lineage directly to Memphis pi"
progressive-house,electronic-dance,§progressive-house,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/progressive-house.md,"Progressive house emerged from the UK's rave and club scenes in the early 1990s, named by Mixmag journalist Dom Phillips in a 1992 article titled ""Trance Mission"" that described an emerging British style blending traditional house, techno, and trance elements into extended, evolving compositions. Th"
reggaeton,electronic-dance,§reggaeton,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/reggaeton.md,"Reggaeton is a Latin urban music genre rooted in Puerto Rico's underground scene of the early 1990s, though its prehistory traces to Panama where artists like El General and Nando Boom first recorded Spanish-language vocals over Jamaican dancehall riddims in the late 1980s. The genre's rhythmic back"
synthwave,electronic-dance,§synthwave,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/synthwave.md,"Synthwave is a retro-futuristic electronic music genre that draws inspiration from 1980s film soundtracks, arcade video games, and synth-pop music. The genre emerged in the mid-2000s from online communities and French house scenes, with early pioneers like Kavinsky, College, and David Grellier (Coll"
tech-house,electronic-dance,§tech-house,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/tech-house.md,"Tech house emerged in the early 1990s from London's underground club scene as a hybrid that fused the groove and warmth of house music with the stripped-back precision and mechanical edge of techno. The genre coalesced around a handful of DJs who bridged the two worlds: Eddie Richards, widely regard"
techno,electronic-dance,§techno,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/techno.md,"Techno is a form of electronic dance music that originated in Detroit in the mid-1980s, pioneered by three African-American musicians known as the Belleville Three: Juan Atkins, Derrick May, and Kevin Saunderson. These high school friends from the Detroit suburb of Belleville synthesized influences "
trance,electronic-dance,§trance,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/trance.md,"Trance is a hypnotic form of electronic dance music characterized by repetitive melodic phrases, driving four-on-the-floor beats, and dramatic build-ups and breakdowns designed to induce an altered state of consciousness. Emerging from the German techno scene in Frankfurt and Berlin in the early 199"
trip-hop,electronic-dance,§trip-hop,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/trip-hop.md,"Trip-hop is a downtempo electronic music genre that emerged from Bristol, UK during the early 1990s, blending hip-hop beats with atmospheric samples, psychedelic textures, and moody aesthetics. The term itself was coined by British music magazine Mixmag in 1994 to describe the sound emanating from B"
tropical-house,electronic-dance,§tropical-house,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/tropical-house.md,"Tropical house emerged in the early 2010s as a sun-soaked subgenre of deep house, blending warm synthesizers, steel drums, marimbas, and relaxed pop vocals into an accessible, feel-good sound. The term originated as a joke by Australian producer Thomas Jack around 2013, who used it to describe his l"
uk-garage,electronic-dance,§uk-garage,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/uk-garage.md,"UK garage (UKG) is a genre of electronic dance music that originated in England in the early to mid-1990s, rooted in the soulful house sound of New York's Paradise Garage nightclub where Larry Levan held residency from 1977 to 1987. British DJs importing US garage house records began pitching them u"
vaporwave,electronic-dance,§vaporwave,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/vaporwave.md,"Vaporwave is an internet-born electronic music genre that emerged in the early 2010s, characterized by slowed and chopped-up samples from 1980s and 1990s sources—corporate hold music, mall elevators, smooth jazz, synthpop, and video game soundtracks. Often presented with nostalgic or ironic aestheti"
witch-house,electronic-dance,§witch-house,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/electronic-dance/witch-house.md,"Witch house emerged around 2009-2010 from the intersection of lo-fi electronic production, hip-hop beats, and occult-tinged visual aesthetics, coalescing on blogs and Tumblr before it had a stable name. Producers like oOoOO, Salem, and White Ring created murky, slowed-down electronic music that drew"
abstract-hip-hop,hiphop-rap,§abstract-hip-hop,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/abstract-hip-hop.md,"Abstract hip-hop is an experimental subgenre that prioritizes unconventional lyricism, non-linear narratives, surreal imagery, and avant-garde production over the structural and thematic norms of mainstream rap. The style's earliest threads emerged in the early 1990s through Organized Konfusion's us"
boom-bap,hiphop-rap,§boom-bap,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/boom-bap.md,"Boom bap is a hip-hop production style and subgenre whose name is an onomatopoeia for the sound of its defining elements: the deep kick drum (""boom"") and the crisp snare (""bap""). The style emerged from New York City's East Coast hip-hop scene in the mid-to-late 1980s, with producers like Marley Marl"
cloud-rap,hiphop-rap,§cloud-rap,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/cloud-rap.md,"Cloud rap is a subgenre of hip-hop that emerged in the late 2000s and early 2010s, built on hazy, reverb-drenched production that drew from ambient music, new age, chillwave, and trap. The term was coined in 2010 by music blogger Walker Chambliss (Walkmasterflex) of the Space Age Hustle blog to desc"
country-rap,hiphop-rap,§country-rap,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/country-rap.md,"Country rap — also known as ""hick-hop,"" ""rural rap,"" or ""country hip-hop"" — is a fusion genre that blends country music's storytelling tradition, twangy instrumentation, and rural American themes with hip-hop's rhythmic vocal delivery, beat-driven production, and swagger. The genre's roots trace to "
crunk,hiphop-rap,§crunk,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/crunk.md,"Crunk is a high-energy subgenre of Southern hip hop that emerged from Memphis and Atlanta in the mid-to-late 1990s, reaching its commercial peak between 2003 and 2007. The term — a portmanteau of ""crazy"" and ""drunk,"" or possibly derived from a Southern dialectal past tense of ""crank"" — describes bot"
drill,hiphop-rap,§drill,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/drill.md,"Drill is a subgenre of hip-hop that emerged from Chicago's South Side in the early 2010s, characterized by dark, nihilistic production, aggressive lyrical content, and a raw, unfiltered portrayal of street life. The genre takes its name from Chicago slang for engaging in violent activity or shooting"
east-coast-hip-hop,hiphop-rap,§east-coast-hip-hop,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/east-coast-hip-hop.md,"East Coast hip hop is the foundational regional style of hip-hop music, originating in New York City's boroughs during the early 1970s. Born in the South Bronx at block parties hosted by DJ Kool Herc, the style evolved through the 1980s with pioneering acts like Run-DMC, Rakim, and Big Daddy Kane, w"
emo-rap,hiphop-rap,§emo-rap,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/emo-rap.md,"Emo rap is a fusion subgenre that merges hip-hop's trap production and vocal delivery with the emotional vulnerability, guitar-driven melodies, and confessional songwriting of emo and pop-punk. The genre's roots trace to the early-to-mid 2010s SoundCloud scene, where artists like Bones, Black Kray ("
g-funk,hiphop-rap,§g-funk,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/g-funk.md,"G-funk (gangsta-funk) emerged from the West Coast hip-hop scene in the early 1990s, pioneered by Dr. Dre on his landmark 1992 album *The Chronic*. The genre fused gangsta rap with the melodic sensibilities of 1970s P-Funk — particularly the work of Parliament-Funkadelic, George Clinton, and Roger Tr"
gangsta-rap,hiphop-rap,§gangsta-rap,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/gangsta-rap.md,"Gangsta rap is a subgenre of hip-hop that emerged in the mid-1980s, defined by its unflinching depiction of street life, gang culture, violence, drug dealing, and confrontation with law enforcement. While Philadelphia's Schoolly D is often credited with the first gangsta rap record (""P.S.K. What Doe"
grime,hiphop-rap,§grime,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/grime.md,"Grime is a British electronic music genre that emerged from the council estates and tower blocks of East London in the early 2000s. Born from the collision of UK garage's rhythmic sophistication, jungle's breakneck energy, dancehall's vocal swagger, and hip-hop's lyrical ambition, grime forged a sou"
hip-hop,hiphop-rap,§hip-hop,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/hip-hop.md,"Hip-hop is a cultural movement and music genre that emerged from the South Bronx, New York City in the early 1970s, pioneered by DJs like Kool Herc, Grandmaster Flash, and Afrika Bambaataa. The genre is characterized by rhythmic vocal delivery (rapping or MCing), beat-driven production, and creative"
horrorcore,hiphop-rap,§horrorcore,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/horrorcore.md,"Horrorcore is a subgenre of hardcore hip-hop that centers its lyrical content on horror themes — graphic violence, the supernatural, psychological terror, serial killers, the occult, and slasher-film imagery. The genre's earliest roots trace to the Geto Boys, whose 1988 track ""Assassins"" from *Makin"
jazz-rap,hiphop-rap,§jazz-rap,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/jazz-rap.md,"Jazz rap emerged in the late 1980s as a fusion of hip-hop's rhythmic vocal delivery with jazz instrumentation, improvisation, and harmonic sophistication. The earliest connections between the two genres trace back to DJs like Grandmaster Flash scratching records by Donald Byrd and Roy Ayers into the"
latin-trap,hiphop-rap,§latin-trap,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/latin-trap.md,"Latin trap is a Spanish-language evolution of Atlanta-born trap music that emerged from Puerto Rico's reggaeton scene in the mid-2010s and rapidly became one of the most commercially dominant forces in Latin music. The genre's earliest roots trace to 2007, when Puerto Rican reggaeton artists Arcange"
mumble-rap,hiphop-rap,§mumble-rap,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/mumble-rap.md,"Mumble rap is a polarizing style of hip-hop that emerged in the early-to-mid 2010s, characterized by melodic, often slurred vocal delivery, heavy auto-tune processing, ad-lib-driven compositions, and lyrics that prioritize sound and feeling over narrative clarity. The term itself was coined by detra"
phonk,hiphop-rap,§phonk,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/phonk.md,"Phonk is a contemporary hip-hop subgenre rooted in the dark, lo-fi aesthetic of 1990s Memphis rap, synthesizing chopped vocal samples, hypnotic beat structures, and heavy bass with visual culture inspired by Japanese street racing and drift videos. The genre traces its lineage directly to Memphis pi"
southern-hip-hop,hiphop-rap,§southern-hip-hop,knowledge-evolving/genre-dictionary/23_GENRE_FULLBODY/hiphop-rap/southern-hip-hop.md,"Southern hip hop encompasses a vast and diverse collection of regional styles that emerged across the American South beginning in the late 1980s and early 1990s. While New York and Los Angeles dominated hip-hop's early commercial landscape, cities like Atlanta, Houston, Memphis, Miami, and New Orlea"
